region,name,code,area,climate,oldcode
ERCOT,Corpus Christy TX,CRP,TS,E2A,TS
ERCOT,Austin TX,AUS,TSC,E2D,TSC
ERCOT,Houston TX,IAH,TC,E2D,TC
ERCOT,Tyler TX,TYR,TE,E2D,TE
ERCOT,Abilene TX,ABI,TW,E3A,TW
ERCOT,Midland TX,MAF,TFW,E3B,TFW
ERCOT,Wichita Falls TX,SPS,TN,E3B,TN
ERCOT,Dallas TX,DFW,TNC,E3D,TNC
MRO,Omaha NE,OMA,E5P,E5A,E5P
MRO,Madison WI,MSN,E6I,E6A,E6L
MRO,Minneapolis MN,MSP,E6P,E6A,E6P
MRO,Duluth MN,DLH,E7I,E7A,E7L
MRO,Fargo ND,FAR,E7P,E7A,E7P
NPCC,New York NY,JFK,E4C,E4A,E4C
NPCC,Albany NY,ALB,E6I,E5A,E6L
NPCC,Boston MA,BOS,E5C,E5A,E5C
NPCC,Bridgeport CT,BDR,E4C,E5A,E4C
NPCC,Buffalo NY,BUF,E5I,E5A,E5L
NPCC,Hartford CT,BDL,E5B,E5A,E5C
NPCC,Providence RI,PVD,E5C,E5A,E5C
NPCC,Rochester NY,RST,E5I,E5A,E5L
NPCC,Worcester MA,ORH,E5B,E5A,E5C
NPCC,Bangor ME,BGR,E6C,E6A,E6C
NPCC,Burlington VT,BTV,E6I,E6A,E6L
NPCC,Concord NH,CON,E6C,E6A,E6C
NPCC,Montreal QC,YUL,E6I,E6A,E6L
NPCC,Ottawa ON,YOW,E6I,E6A,E6L
NPCC,Plattsburg NY,PBG,E6I,E6A,E6L
NPCC,Quebec City QC,YQB,E7I,E6A,E7L
NPCC,Syracuse NY,SYR,E6I,E6A,E6L
NPCC,Toronto ON,YYZ,E6I,E6A,E6L
NPCC,Utica NY,UCA,E6I,E6A,E6L
NPCC,Fredericton NB,YFC,E7C,E7A,E7C
NPCC,Halifax NS,YHZ,E7C,E7A,E7C
NPCC,Rouyn-Noranda QC,YUY,E7I,E7A,E7L
NPCC,Sept-Iles QC,YZV,E7I,E7A,E7L
NPCC,Thunder Bay ON,YQT,E7I,E7A,E7L
RF,Baltimore MD,BWI,E4C,E4A,E4C
RF,Philadelphia PA,PHL,E5B,E4A,E4C
RF,Charleston WV,CRW,E4I,E5A,E5L
RF,Chicago IL,ORD,E5P,E5A,E5P
RF,Cleveland OH,CLE,E5I,E5A,E5L
RF,Detroit MI,DTW,E5P,E5A,E5P
RF,Pittsburgh PA,PIT,E5I,E5A,E5L
RF,Milwaukee WI,MKE,E6I,E6A,E6L
SERC,Miami FL,MIA,E1,E1D,E1
SERC,Jacksonville FL,JAX,E2,E2D,E2
SERC,New Orleans LA,MSY,E2,E2D,E2
SERC,Charlotte NC,CLT,E3C,E3A,E3C
SERC,Atlanta GA,ATL,E3C,E3D,E3C
SERC,Charleston SC,CHS,E3C,E3D,E3C
SERC,Montgomery AL,MGM,E3C,E3D,E3C
SERC,Louisville KY,SDF,E4I,E4A,E4L
SERC,Nashville TN,BNA,E4I,E4A,E4L
SERC,St Louis MO,STL,E4P,E4A,E4P
SPP,Oklahoma City OK,OKC,E3P,E3A,E3P
SPP,Kansas City MO,MCI,E4P,E4A,E4P
SPP,Wichita KS,ICT,E4P,E4A,E4P
SPP,Amarillo TX,AMA,E3P,E4B,E3P
WECC,Phoenix AZ,PHX,DSW,E2B,DSW
WECC,Bakersfield CA,BFL,SCI,E3B,SCI
WECC,Ontario CA,ONT,SCV,E3B,SCV
WECC,Riverside CA,RAL,SCV,E3B,SCV
WECC,San Diego CA,SAN,SCC,E3B,SCC
WECC,Los Angeles CA,LAX,SCC,E3C,SCC
WECC,San Francisco CA,SFO,NCC,E3C,NCC
WECC,Sacramento CA,SMF,NCV,E4B,NCV
WECC,Portland OR,PDX,NWV,E4C,NWV
WECC,Seattle WA,SEA,NWC,E4C,NWC
WECC,Denver CO,DEN,HID,E5B,HID
WECC,Salt Lake City UT,SLC,HID,E5B,HID
WECC,Spokane WA,GEG,NWI,E5B,NWI
WECC,Cheyenne WY,CYS,RMN,E6B,RMN
WECC,Calgary AB,YYC,RMN,E7B,RMN
